parse_ok: 100
parse_fail: 0
Ground Truth: -ticketcp , Prediction: e0000
Ground Truth: redvelvetcheeseslc , Prediction: redvelvetcheeseslc
Ground Truth: chickenbakedrice , Prediction: chickenbakedrice
Ground Truth: fishnchips , Prediction: fishnchips
Ground Truth: mushroomsoup , Prediction: mushroomsoup
Ground Truth: chamomile , Prediction: chamomile
Ground Truth: icedtea , Prediction: 
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 2
Ground Truth: 1 , Prediction: 
Ground Truth: 38000 , Prediction: 38000
Ground Truth: 55000 , Prediction: 55000
Ground Truth: 65000 , Prediction: 65000
Ground Truth: 35000 , Prediction: 35000
Ground Truth: 25000 , Prediction: 25000
Ground Truth: 20000 , Prediction: 
Ground Truth: 238000 , Prediction: 238000
Ground Truth: 25585 , Prediction: 25585
Ground Truth: 281435 , Prediction: 281435
Ground Truth: 200000 , Prediction: 200000
Ground Truth: 18565 , Prediction: 18565
Ground Truth: lemonteal , Prediction: lemonteal
Ground Truth: caramelsmall , Prediction: caramelsmall
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 25000 , Prediction: 25000
Ground Truth: 38000 , Prediction: 38000
Ground Truth: 63000 , Prediction: 63000
Ground Truth: 70000 , Prediction: 70000
Ground Truth: 7000 , Prediction: 7000
Ground Truth: lgblacksakura , Prediction: lgblacksakura
Ground Truth: ivineralwaterbundling5k , Prediction: longan
Ground Truth:  , Prediction: roastedalmond
Ground Truth:  , Prediction: manggo
Ground Truth:  , Prediction: vineralwaterbundling
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth: 59091 , Prediction: 59091
Ground Truth: 4545 , Prediction: 0
Ground Truth:  , Prediction: 0
Ground Truth:  , Prediction: 0
Ground Truth:  , Prediction: 5k
Ground Truth: 63636 , Prediction: 63636
Ground Truth: 6364 , Prediction: 6364
Ground Truth: 70000 , Prediction: 70000
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 30000 , Prediction: 30000
Ground Truth: goblin'smace , Prediction: goblin'smace
Ground Truth: mozarellahotdog , Prediction: mozarellahot
Ground Truth: chilipeppercroquette , Prediction: croquette
Ground Truth: cheesecroquette , Prediction: cheesecroquette
Ground Truth: plastikamook , Prediction: 
Ground Truth: plastikputihtakeaway , Prediction: 
Ground Truth: 1 , Prediction: 1
Ground Truth: 2 , Prediction: 1
Ground Truth: 1 , Prediction: 2
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 
Ground Truth: 1 , Prediction: 
Ground Truth: 25000 , Prediction: 25000
Ground Truth: 38000 , Prediction: 38000
Ground Truth: 14000 , Prediction: 14000
Ground Truth: 14000 , Prediction: 14000
Ground Truth: 0 , Prediction: 
Ground Truth: 0 , Prediction: 
Ground Truth: 91000 , Prediction: 91000
Ground Truth: 0 , Prediction: 
Ground Truth: 91000 , Prediction: 91000
Ground Truth: 91000 , Prediction: 91000
Ground Truth: propoliscair , Prediction: propoliscair1
Ground Truth: 1 , Prediction: 1
Ground Truth: 156000 , Prediction: 156000
Ground Truth: 156000 , Prediction: 156000
Ground Truth:  , Prediction: 156000
Ground Truth: 156000 , Prediction: 156000
Ground Truth: 156000 , Prediction: 156000
Ground Truth: 0 , Prediction: 0
Ground Truth: ambushdblchs , Prediction: ambu5hdblchs
Ground Truth: ambushchsbur , Prediction: anbushchsbur
Ground Truth: 4 , Prediction: 1
Ground Truth: 10 , Prediction: 1
Ground Truth: 60000 , Prediction: 40000
Ground Truth: 100000 , Prediction: 10000
Ground Truth: 160000 , Prediction: 50000
Ground Truth: 16000 , Prediction: 10000
Ground Truth: 176000 , Prediction: 60000
Ground Truth: cashewnutschkn , Prediction: cashewnutechkn
Ground Truth: garlicpepperbeef , Prediction: qarlicpepperbeer
Ground Truth: redcurrybeef , Prediction: redcurrybeet
Ground Truth: phadthai , Prediction: phadthai
Ground Truth: steamedrice , Prediction: steanedrice
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 4 , Prediction: 1
Ground Truth: 64500 , Prediction: 79500
Ground Truth: 79500 , Prediction: 69500
Ground Truth: 69500 , Prediction: 64500
Ground Truth: 64500 , Prediction: 47600
Ground Truth: 47600 , Prediction: 47600
Ground Truth: 325600 , Prediction: 325600
Ground Truth: 34351 , Prediction: 17909
Ground Truth: 377859 , Prediction: 343510
Ground Truth: nasigorsfdtlr , Prediction: nasigorsfdtlr
Ground Truth: estehtawar , Prediction: estehtawar
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 35000 , Prediction: 35000
Ground Truth: 3000 , Prediction: 13000
Ground Truth: 35000 , Prediction: 35000
Ground Truth: 3000 , Prediction: 13000
Ground Truth: 38000 , Prediction: 48000
Ground Truth: 50000 , Prediction: r50000
Ground Truth: 12000 , Prediction: 12000
Ground Truth: mdsoftsteamedcheesec , Prediction: mdsoftsteamedcheesec
Ground Truth: mdsoftsteamedchococa , Prediction: mdsoftsteamedchoccca
Ground Truth: 2 , Prediction: 2
Ground Truth: 2 , Prediction: 2
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 40000 , Prediction: 40000
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 60000 , Prediction: 60000
Ground Truth: twistdonut , Prediction: twistdonut
Ground Truth: redbeanbread , Prediction: redbeanbread
Ground Truth: 6 , Prediction: 6
Ground Truth: 1 , Prediction: 1
Ground Truth: 54000 , Prediction: 54000
Ground Truth: 9000 , Prediction: 9000
Ground Truth: 63000 , Prediction: 63000
Ground Truth: 70000 , Prediction: 70000
Ground Truth: 7000 , Prediction: 7000
Ground Truth: 5001-cornflakescookies , Prediction: 5001-cornflakescookies
Ground Truth: 5003-chokoretocookies , Prediction: 5003-chokoretocookies
Ground Truth: 6002-plasticbagmedium , Prediction: 6002-plastichagmedium
Ground Truth: x1 , Prediction: 1
Ground Truth: x1 , Prediction: 1
Ground Truth: x1 , Prediction: 1
Ground Truth: 56000 , Prediction: 56000
Ground Truth: 62000 , Prediction: 62000
Ground Truth: 0 , Prediction: 0
Ground Truth: 56000 , Prediction: 56000
Ground Truth: 62000 , Prediction: 62000
Ground Truth: 0 , Prediction: 0
Ground Truth: 118000 , Prediction: 118000
Ground Truth: 118000 , Prediction: 118000
Ground Truth: twiststrawberrydonut , Prediction: twiststrawberrydonut
Ground Truth: tljcroquette , Prediction: tljcroquette
Ground Truth: potatopepperbagel , Prediction: potatopepperbagel
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth:  , Prediction: 10000
Ground Truth:  , Prediction: 17000
Ground Truth:  , Prediction: 16000
Ground Truth: 10000 , Prediction: 10000
Ground Truth: 17000 , Prediction: 17000
Ground Truth: 16000 , Prediction: 16000
Ground Truth: 43000 , Prediction: 43000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 7000 , Prediction: 7000
Ground Truth: nasicapcayporsibesar , Prediction: nasicapcayporsib
Ground Truth: tehtawar , Prediction: minuman
Ground Truth: fuyunghai , Prediction: lain-lain
Ground Truth: 1 , Prediction: 1
Ground Truth: 2 , Prediction: 2
Ground Truth: 1 , Prediction: 1
Ground Truth: 65000 , Prediction: 65000
Ground Truth: 4000 , Prediction: 4000
Ground Truth: 65000 , Prediction: 5000
Ground Truth: 65000 , Prediction: 65000
Ground Truth: 65000 , Prediction: 8000
Ground Truth:  , Prediction: 5000
Ground Truth: 138000 , Prediction: 138000
Ground Truth: 138000 , Prediction: 138000
Ground Truth: 138000 , Prediction: 138000
Ground Truth: 0 , Prediction: 0
Ground Truth: pktayam , Prediction: pktayam
Ground Truth: gulaiotak , Prediction: gulaiotak
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth: 33000 , Prediction: 33000
Ground Truth: 23000 , Prediction: 23000
Ground Truth: 56000 , Prediction: 56000
Ground Truth: 5600 , Prediction: 5600
Ground Truth: 61600 , Prediction: 61600
Ground Truth: 61600 , Prediction: 
Ground Truth: samgyopsal , Prediction: samgyopsal
Ground Truth: sullungtang , Prediction: sullungtang
Ground Truth: makoli , Prediction: makoli
Ground Truth: 2 , Prediction: 2
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 194000 , Prediction: 194000
Ground Truth: 75000 , Prediction: 75000
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 369000 , Prediction: 369000
Ground Truth: 0 , Prediction: 
Ground Truth: 38745 , Prediction: 38745
Ground Truth: 426195 , Prediction: 426195
Ground Truth: coldocha , Prediction: coldocha
Ground Truth: bcapromo , Prediction: bcapromo
Ground Truth: skeweredshumai , Prediction: iaburaudonspicy
Ground Truth: skeweredtofuroll , Prediction: i-kakeudon
Ground Truth: ebitempura , Prediction: skeweredshumai
Ground Truth: kitsuneudonkids , Prediction: ebitempura
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 10909 , Prediction: 10909
Ground Truth: 54455 , Prediction: 54455
Ground Truth: 12727 , Prediction: 12727
Ground Truth: 12727 , Prediction: 12727
Ground Truth: 13636 , Prediction: 13636
Ground Truth: 28182 , Prediction: 13636
Ground Truth: 132636 , Prediction: 28182
Ground Truth: 13264 , Prediction: 13264
Ground Truth: 145900 , Prediction: 41446
Ground Truth: 145900 , Prediction: 41446
Ground Truth: kupon3 , Prediction: kupon3
Ground Truth:  , Prediction: 1
Ground Truth: 28636 , Prediction: 28636
Ground Truth: 28636 , Prediction: 28636
Ground Truth: 2864 , Prediction: 2864
Ground Truth: 31500 , Prediction: 31499
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 18500 , Prediction: 18500
Ground Truth: salmonpesto , Prediction: salmonpesto
Ground Truth: salmonpesto , Prediction: 
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 
Ground Truth: 85500 , Prediction: 85500
Ground Truth: 85500 , Prediction: 
Ground Truth: 85500 , Prediction: 85500
Ground Truth: 18126 , Prediction: 10260
Ground Truth: 113886 , Prediction: 113886
Ground Truth: thaiicedgreentea , Prediction: thaiicedgreentea
Ground Truth: 1 , Prediction: 1
Ground Truth: 24000 , Prediction: 24000
Ground Truth: 24000 , Prediction: 24000
Ground Truth: 24000 , Prediction: 24000
Ground Truth: 24000 , Prediction: 24000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 26000 , Prediction: 26000
Ground Truth: grilledbabypotator , Prediction: grilledbabypotator
Ground Truth: hottuna , Prediction: hottuna
Ground Truth: hottuna , Prediction: 
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 
Ground Truth: 50500 , Prediction: 50500
Ground Truth: 67000 , Prediction: 67000
Ground Truth: 67000 , Prediction: 
Ground Truth: 117500 , Prediction: 117500
Ground Truth: 19557 , Prediction: 11070
Ground Truth: 148127 , Prediction: 148127
Ground Truth: ashchicksambalmatah , Prediction: ashchicksambamatah
Ground Truth: jamurgoreng , Prediction: jamurgoreng
Ground Truth: 5 , Prediction: 1
Ground Truth: 2 , Prediction: 2
Ground Truth: 75000 , Prediction: 75000
Ground Truth: 10000 , Prediction: 10000
Ground Truth: 85000 , Prediction: 85000
Ground Truth: 8500 , Prediction: 8500
Ground Truth: 93500 , Prediction: 93500
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 6500 , Prediction: 6500
Ground Truth: twistdonut , Prediction: twistdonut
Ground Truth: bananadonut , Prediction: bananadonut
Ground Truth: creamcheesebread , Prediction: creamcheesebread
Ground Truth: frankfrutsausageroll , Prediction: frankfruitsausageroll
Ground Truth: 2 , Prediction: 2
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 18000 , Prediction: 18000
Ground Truth: 11000 , Prediction: 11000
Ground Truth: 13000 , Prediction: 13000
Ground Truth: 12000 , Prediction: 12000
Ground Truth: 54000 , Prediction: 50000
Ground Truth: 104000 , Prediction: 104000
Ground Truth: 50000 , Prediction: 5000
Ground Truth: xxlcrispychicken , Prediction: xxlcrspychicken
Ground Truth: 1 , Prediction: 1
Ground Truth: 40000 , Prediction: 40000
Ground Truth: 40000 , Prediction: 40000
Ground Truth: 40000 , Prediction: 40000
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 60000 , Prediction: 60000
Ground Truth: popcornsalts , Prediction: popcornsalts
Ground Truth: 1 , Prediction: 1
Ground Truth: 20000 , Prediction: 20000
Ground Truth:  , Prediction: 20000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 30000 , Prediction: 30000
Ground Truth: xlborgpork10x , Prediction: xlborgpork10x
Ground Truth: sicitobabi , Prediction: sicitobabi
Ground Truth: hotplatetahu , Prediction: hotplatetahu
Ground Truth: dffishfilletgarlc , Prediction: dffishfilletgarlic
Ground Truth: lmporkbelly , Prediction: lmporkbelly
Ground Truth: siewmai , Prediction: siewmal
Ground Truth: kwanyincup , Prediction: kwanyincup
Ground Truth: herbaljelly , Prediction: herbaljelly
Ground Truth: onde-onde , Prediction: onde-onde
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 5 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 78000 , Prediction: 78000
Ground Truth: 65000 , Prediction: 65000
Ground Truth: 58000 , Prediction: 58000
Ground Truth: 108000 , Prediction: 108000
Ground Truth: 88000 , Prediction: 88000
Ground Truth: 38800 , Prediction: 38800
Ground Truth: 50000 , Prediction: 38000
Ground Truth: 38000 , Prediction: 50000
Ground Truth: 38000 , Prediction: 50000
Ground Truth: 561800 , Prediction: 561800
Ground Truth: 60394 , Prediction: 42135
Ground Truth: 664329 , Prediction: 664329
Ground Truth: lunchbox3psetw/redbag&sp00n , Prediction: hpl754drlunchbox3psetw/redbag&spoo
Ground Truth: ricecase7lw/cup , Prediction: hpl500ricecase7lh/cup
Ground Truth: lunchbox3psetw/blackbag&spoon , Prediction: 4pc
Ground Truth: 8 , Prediction: 8pcs
Ground Truth: 5 , Prediction: 5pc
Ground Truth: 4 , Prediction: 243000
Ground Truth: 243000 , Prediction: 243000
Ground Truth: 195000 , Prediction: 195000
Ground Truth: 243000 , Prediction: 972000
Ground Truth: 1944000 , Prediction: 1944000
Ground Truth: 975000 , Prediction: 975000
Ground Truth: 972000 , Prediction: 777600
Ground Truth:  , Prediction: 1555200
Ground Truth: 3112800 , Prediction: 1555200
Ground Truth: snacklestariall , Prediction: bakeryanekasisirbananapizzayokoyhar
Ground Truth: bakeryanekasisirbananapizzayokomarmerdagingabonkejucokelatdll , Prediction: dagingabonkejucokelat
Ground Truth: 2 , Prediction: 1
Ground Truth: 2 , Prediction: 1
Ground Truth: 27000 , Prediction: 
Ground Truth: 7000 , Prediction: 
Ground Truth: 54000 , Prediction: 222000
Ground Truth: 14000 , Prediction: 14000
Ground Truth:  , Prediction: 27000
Ground Truth: 68000 , Prediction: 27000
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 32000 , Prediction: 73000
Ground Truth: chickenmaryland , Prediction: chickenmaryland
Ground Truth: cappucinohot/iced , Prediction: cappucinohot/iced
Ground Truth: nagalycheejuice , Prediction: nagalycheejuice
Ground Truth: cafelatte , Prediction: cafelatte
Ground Truth: hotchocolatemarshmallo , Prediction: hotchocolatemarshmallo
Ground Truth: chickencesarsalad , Prediction: chickencesarsalad
Ground Truth: mineralwater , Prediction: mineralwater
Ground Truth: mineralwater , Prediction: mineralwater
Ground Truth: lychee/peach/lemon/mango , Prediction: lychee/peach/lemon/mango
Ground Truth: chickenmaryland , Prediction: 
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth: 4761900 , Prediction: 4761900
Ground Truth: 3030300 , Prediction: 3030300
Ground Truth: 3463200 , Prediction: 3463200
Ground Truth: 3030300 , Prediction: 3030300
Ground Truth: 3030300 , Prediction: 3030300
Ground Truth: 4329000 , Prediction: 4329000
Ground Truth: 1298700 , Prediction: 1298700
Ground Truth: 1298700 , Prediction: 1298700
Ground Truth: 2597400 , Prediction: 2597400
Ground Truth: 4761900 , Prediction: 
Ground Truth: 31601700 , Prediction: 4898268
Ground Truth:  , Prediction: 4898268
Ground Truth: 36500000 , Prediction: 
Ground Truth: chickenhcc1pcs , Prediction: chickenhcc1pcs
Ground Truth: 1 , Prediction: 1
Ground Truth: 15000 , Prediction: 15000
Ground Truth: 15000 , Prediction: 15000
Ground Truth: 1500 , Prediction: 1500
Ground Truth: 16500 , Prediction: 16500
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 33500 , Prediction: 33500
Ground Truth: cheesetart , Prediction: 6pcscheesetart
Ground Truth: 6 , Prediction: 6
Ground Truth:  , Prediction: 16500000
Ground Truth: 16500000 , Prediction: 15000000
Ground Truth: 16500000 , Prediction: 15000000
Ground Truth: 1500000 , Prediction: 1650000
Ground Truth: 16500000 , Prediction: 16500000
Ground Truth: 20000000 , Prediction: 20000000
Ground Truth: 3500000 , Prediction: 3500000
Ground Truth: combo1 , Prediction: combo1
Ground Truth: 1 , Prediction: 1
Ground Truth: 30000 , Prediction: 30000
Ground Truth: 30000 , Prediction: 30000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: lemonteal , Prediction: lemonteal
Ground Truth: mike&ikeoriginal , Prediction: mike&ikeoriginal
Ground Truth: mike&berry , Prediction: mike&berry
Ground Truth: rotikejumanis , Prediction: 
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 
Ground Truth: 25000 , Prediction: 25000
Ground Truth: 28000 , Prediction: 28000
Ground Truth: 28000 , Prediction: 28000
Ground Truth: 7000 , Prediction: 
Ground Truth: 88000 , Prediction: 88000
Ground Truth: 88000 , Prediction: 88000
Ground Truth: 0 , Prediction: 0
Ground Truth: s-bubblemilktea , Prediction: s-bubb1emilktea
Ground Truth: s-caramelmilktea , Prediction: s-carame1milktea
Ground Truth: 1x , Prediction: 1x
Ground Truth: 1x , Prediction: 1x
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 40000 , Prediction: 40000
Ground Truth: 40000 , Prediction: 40000
Ground Truth: 0 , Prediction: 0
Ground Truth: copia1/gb , Prediction: copia1/gb
Ground Truth: plasticbagredcentralsi , Prediction: plasticbagredcentralsi1
Ground Truth: copia1/gb , Prediction: 
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 
Ground Truth: 4500000 , Prediction: 4500000
Ground Truth: 000 , Prediction: 000
Ground Truth: 1800000 , Prediction: 
Ground Truth: 4500000 , Prediction: 4500000
Ground Truth: 000 , Prediction: 000
Ground Truth: 1800000 , Prediction: 
Ground Truth:  , Prediction: 9100544
Ground Truth: 000 , Prediction: 
Ground Truth:  , Prediction: 000
Ground Truth: 6300000 , Prediction: 9100544
Ground Truth: 6300000 , Prediction: 6300000
Ground Truth: s-hazelnutkoicafe , Prediction: s~hazelnutk0icafe
Ground Truth: 1x , Prediction: 1x
Ground Truth: 25000 , Prediction: 25000
Ground Truth: 25000 , Prediction: 25000
Ground Truth: 22728 , Prediction: 25000
Ground Truth: 2272 , Prediction: 2272
Ground Truth: 25000 , Prediction: 27272
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 75000 , Prediction: 75000
Ground Truth: ptgseggtart , Prediction: ptgseggtart
Ground Truth: chocomelt , Prediction: chocomelt
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 12000 , Prediction: 12000
Ground Truth: 11000 , Prediction: 11000
Ground Truth: 23000 , Prediction: 23000
Ground Truth: 23000 , Prediction: 23000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 27000 , Prediction: 27000
Ground Truth: supericecauburry , Prediction: spefricecauvurry
Ground Truth: 1 , Prediction: 1
Ground Truth: 17727 , Prediction: 17727
Ground Truth: 17727 , Prediction: 17727
Ground Truth: 1773 , Prediction: 1773
Ground Truth: 19500 , Prediction: 19500
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 80500 , Prediction: 80500
Ground Truth: tanasigrgterimedan , Prediction: trai:custon
Ground Truth: tabihungorengseafood , Prediction: seafood
Ground Truth: takwetiawseafoodsiram , Prediction: kwetiawseafood
Ground Truth: tanasigoreng , Prediction: nasigoreng
Ground Truth: 4 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 2
Ground Truth: 2 , Prediction: 2
Ground Truth: 165460 , Prediction: 46456
Ground Truth: 40456 , Prediction: 42274
Ground Truth: 42274 , Prediction: 84548
Ground Truth: 55456 , Prediction: 30365
Ground Truth: 303646 , Prediction: 110000
Ground Truth: 30365 , Prediction: 33400
Ground Truth: 334000 , Prediction: 143400
Ground Truth: 334000 , Prediction: 334000
Ground Truth: thaiicedtea , Prediction: thaiicedtea
Ground Truth: thaiicedtea , Prediction: thaiicedtea
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 20000 , Prediction: 20000
